Voltage(V),Thickness(nm),Value
0.0,100,21.1469761
0.0,200,21.3798301
0.0,300,21.507179
0.0,400,21.5556737
0.0,500,21.5425348
0.0,600,21.4793033
0.0,700,21.3740557
0.0,800,21.2327269
0.0,900,21.0599051
0.0,1000,20.8593184
0.05,100,21.1466607
0.05,200,21.3795407
0.05,300,21.5069065
0.05,400,21.5554125
0.05,500,21.5422812
0.05,600,21.4790549
0.05,700,21.373811
0.05,800,21.2324848
0.05,900,21.059665
0.05,1000,20.8590797
0.1,100,21.1463418
0.1,200,21.3792485
0.1,300,21.5066316
0.1,400,21.5551491
0.1,500,21.5420256
0.1,600,21.4788047
0.1,700,21.3735647
0.1,800,21.2322412
0.1,900,21.0594234
0.1,1000,20.8588395
0.15,100,21.1460186
0.15,200,21.3789528
0.15,300,21.5063538
0.15,400,21.5548831
0.15,500,21.5417677
0.15,600,21.4785524
0.15,700,21.3733163
0.15,800,21.2319956
0.15,900,21.0591798
0.15,1000,20.8585975
0.2,100,21.1456903
0.2,200,21.378653
0.2,300,21.5060725
0.2,400,21.554614
0.2,500,21.5415071
0.2,600,21.4782973
0.2,700,21.3730653
0.2,800,21.2317476
0.2,900,21.0589339
0.2,1000,20.8583532
0.25,100,21.1453558
0.25,200,21.3783482
0.25,300,21.5057868
0.25,400,21.5543411
0.25,500,21.5412428
0.25,600,21.4780391
0.25,700,21.3728112
0.25,800,21.2314965
0.25,900,21.0586851
0.25,1000,20.858106
0.3,100,21.1450136
0.3,200,21.3780371
0.3,300,21.5054958
0.3,400,21.5540635
0.3,500,21.5409742
0.3,600,21.4777768
0.3,700,21.3725533
0.3,800,21.2312418
0.3,900,21.0584327
0.3,1000,20.8578554
0.35,100,21.1446619
0.35,200,21.3777181
0.35,300,21.5051982
0.35,400,21.5537799
0.35,500,21.5407002
0.35,600,21.4775094
0.35,700,21.3722906
0.35,800,21.2309825
0.35,900,21.0581759
0.35,1000,20.8576004
0.4,100,21.1442978
0.4,200,21.3773893
0.4,300,21.5048922
0.4,400,21.5534889
0.4,500,21.5404193
0.4,600,21.4772356
0.4,700,21.3720218
0.4,800,21.2307173
0.4,900,21.0579133
0.4,1000,20.8573398
0.45,100,21.1439175
0.45,200,21.3770475
0.45,300,21.5045751
0.45,400,21.5531881
0.45,500,21.5401296
0.45,600,21.4769535
0.45,700,21.3717452
0.45,800,21.2304446
0.45,900,21.0576435
0.45,1000,20.8570721
0.5,100,21.1435149
0.5,200,21.3766881
0.5,300,21.5042432
0.5,400,21.5528744
0.5,500,21.5398281
0.5,600,21.4766605
0.5,700,21.3714583
0.5,800,21.2301618
0.5,900,21.0573639
0.5,1000,20.8567948
0.55,100,21.1430803
0.55,200,21.376304
0.55,300,21.5038908
0.55,400,21.5525427
0.55,500,21.5395104
0.55,600,21.4763523
0.55,700,21.3711569
0.55,800,21.2298653
0.55,900,21.0570709
0.55,1000,20.8565046
0.6,100,21.142599
0.6,200,21.3758842
0.6,300,21.5035092
0.6,400,21.5521858
0.6,500,21.5391697
0.6,600,21.476023
0.6,700,21.3708354
0.6,800,21.2295495
0.6,900,21.0567593
0.6,1000,20.8561961
0.65,100,21.1420534
0.65,200,21.3754152
0.65,300,21.5030868
0.65,400,21.551793
0.65,500,21.5387967
0.65,600,21.4756635
0.65,700,21.3704854
0.65,800,21.2292064
0.65,900,21.0564213
0.65,1000,20.8558618
0.7,100,21.1414252
0.7,200,21.3748785
0.7,300,21.5026065
0.7,400,21.5513488
0.7,500,21.5383766
0.7,600,21.4752598
0.7,700,21.3700934
0.7,800,21.2288228
0.7,900,21.0560439
0.7,1000,20.8554892
0.75,100,21.1406483
0.75,200,21.3742197
0.75,300,21.5020211
0.75,400,21.550811
0.75,500,21.5378704
0.75,600,21.4747754
0.75,700,21.3696242
0.75,800,21.2283647
0.75,900,21.055594
0.75,1000,20.8550457
0.8,100,21.1395111
0.8,200,21.3732678
0.8,300,21.5011843
0.8,400,21.5500482
0.8,500,21.5371568
0.8,600,21.4740956
0.8,700,21.3689682
0.8,800,21.227726
0.8,900,21.0549681
0.8,1000,20.8544293
0.85,100,21.137287
0.85,200,21.3714111
0.85,300,21.4995534
0.85,400,21.5485613
0.85,500,21.535765
0.85,600,21.4727685
0.85,700,21.3676866
0.85,800,21.2264772
0.85,900,21.0537436
0.85,1000,20.8532231
0.9,100,21.1312843
0.9,200,21.3661542
0.9,300,21.4947165
0.9,400,21.5440347
0.9,500,21.5314443
0.9,600,21.4685889
0.9,700,21.3636063
0.9,800,21.2224702
0.9,900,21.0497899
0.9,1000,20.8493099
0.95,100,21.1048293
0.95,200,21.3424179
0.95,300,21.4725653
0.95,400,21.5228985
0.95,500,21.5109968
0.95,600,21.4485623
0.95,700,21.3438718
0.95,800,21.2029363
0.95,900,21.0304123
0.95,1000,20.8300637
1.0,100,20.9709019
1.0,200,21.2167207
1.0,300,21.3518239
1.0,400,21.4052366
1.0,500,21.3954601
1.0,600,21.3343584
1.0,700,21.2305823
1.0,800,21.0903025
1.0,900,20.9182594
1.0,1000,20.7182731
1.05,100,20.2239129
1.05,200,20.4950898
1.05,300,20.6453734
1.05,400,20.7082257
1.05,500,20.704553
1.05,600,20.6474865
1.05,700,20.5465281
1.05,800,20.4082426
1.05,900,20.2376623
1.05,1000,20.0387795
1.1,100,16.1310656
1.1,200,16.479584
1.1,300,16.6760791
1.1,400,16.7676075
1.1,500,16.7824087
1.1,600,16.73766
1.1,700,16.6452059
1.1,800,16.5129781
1.1,900,16.3468475
1.1,1000,16.1513284
1.15,100,-2.98995365
1.15,200,-2.42251023
1.15,300,-2.09493693
1.15,400,-1.92203705
1.15,500,-1.85478767
1.15,600,-1.86461025
1.15,700,-1.93296142
1.15,800,-2.04801715
1.15,900,-2.20152397
1.15,1000,-2.38748337
